phishing,"URGENT: Your account has been compromised. Click here to verify your identity and restore access."
phishing,"Congratulations! You've won a $1000 Amazon gift card. Claim your prize within 24 hours."
phishing,"Your package delivery failed. Click here to reschedule or your item will be returned to sender."
nonphishing,"Please review the attached Q1 financial report for our upcoming meeting on Thursday."
nonphishing,"The maintenance team will be upgrading the server infrastructure this weekend. Expect brief outages."
nonphishing,"I've shared the project roadmap document with you in Google Drive. Let me know your thoughts."
phishing,"Your Netflix subscription has expired. Update your payment information to continue watching."
phishing,"Attention: Your tax refund is ready for processing. Verify your banking details to receive payment."
nonphishing,"Reminder: The quarterly team lunch is scheduled for next Friday at noon in the main conference room."
nonphishing,"Please submit your expense reports by the end of the month to ensure timely reimbursement." 
